,year,manufacturer,model,condition,cylinders,fuel,title_status,transmission,drive,size,type,paint_color,state,price_log,odometer_log
457137,2014,dodge,charger,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,sedan,black,mi,9.392411897514927,11.536612694283383
337403,2007,gmc,sierra 2500hd,like new,8 cylinders,gas,clean,automatic,4wd,full-size,truck,custom,ma,9.104424146384634,12.106307557340598
390688,1998,ford,expedition xlt,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,SUV,white,pa,8.292798858200374,12.078296090588015
521662,1990,ford,f350 lariat,good,8 cylinders,diesel,clean,manual,rwd,full-size,truck,black,ia,8.411832675758411,12.323900124643377
254435,2004,ford,focus zx3,good,4 cylinders,gas,clean,automatic,fwd,mid-size,coupe,grey,fl,7.696212639346407,12.18144178103335
306379,2006,nissan,pathfinder se,excellent,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,blue,wi,8.48673398393153,11.845891562262153
261472,2010,ram,2500 laramie diesel t,like new,6 cylinders,diesel,clean,automatic,4wd,full-size,truck,silver,or,10.308552580622953,11.748432275267836
516734,2001,lexus,rx300,excellent,6 cylinders,gas,clean,automatic,4wd,mid-size,SUV,silver,fl,8.476162841858246,12.001566827600335
87314,2009,nissan,cube krom,good,4 cylinders,gas,clean,automatic,fwd,compact,SUV,purple,al,8.51699317141357,11.496806245590331
60917,2014,nissan,sentra,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,red,pa,9.093806555720231,10.59688470185128
50590,2012,volkswagen,jetta sel,excellent,5 cylinders,gas,clean,automatic,fwd,full-size,sedan,white,pa,8.85366542803745,11.71185828756938
173622,2006,mazda,tribute,excellent,6 cylinders,gas,clean,automatic,fwd,full-size,SUV,silver,fl,8.517193191416238,11.626343432005784
297471,2017,jeep,cherokee latitude,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,SUV,black,ok,9.413281215972873,11.345299398574877
259945,2000,ram,2500,good,8 cylinders,gas,clean,automatic,rwd,full-size,van,white,tn,8.006367567650246,12.03712130767439
132410,2005,chevrolet,colorado,good,5 cylinders,gas,clean,automatic,rwd,full-size,truck,white,fl,8.698681067461614,11.937146901560837
273577,2014,buick,encore,like new,4 cylinders,gas,clean,automatic,4wd,mid-size,SUV,silver,me,9.392245175273795,11.50050869495514
72307,2016,kia,optima,excellent,4 cylinders,gas,clean,automatic,fwd,full-size,sedan,blue,tx,9.6614159913364,10.118195625029236
348943,2011,ford,fusion,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,red,tx,8.411832675758411,12.10076768388475
331659,2016,ford,escape,excellent,4 cylinders,gas,clean,automatic,fwd,full-size,SUV,grey,il,9.524786081697178,10.860190595021544
513919,2008,toyota,fj cruiser,like new,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,blue,ia,9.898475010712584,11.190996953789856
156283,2014,ford,taurus sel,excellent,6 cylinders,gas,clean,automatic,fwd,mid-size,sedan,black,md,9.159047077588632,11.684253480289318
190306,2002,ford,f-250,good,8 cylinders,diesel,clean,automatic,4wd,full-size,pickup,red,mi,9.137769679141348,12.726085933155158
207905,2009,chevrolet,cobalt lt,good,4 cylinders,gas,clean,automatic,fwd,compact,sedan,blue,mi,7.762170607138205,11.72002093186283
141076,2012,ram,1500 slt,excellent,6 cylinders,gas,clean,automatic,fwd,full-size,mini-van,silver,in,8.517193191416238,11.98299159226292
447596,2012,ford,f-150,excellent,8 cylinders,gas,clean,automatic,fwd,full-size,truck,black,ca,9.6614159913364,11.56907892957336
239402,2016,dodge,grand caravan,excellent,6 cylinders,gas,clean,automatic,fwd,full-size,van,black,ne,9.61547209118311,11.046451598774738
483017,1991,subaru,sambar,good,4 cylinders,gas,clean,manual,4wd,compact,mini-van,blue,in,8.779557455883728,10.862090368195899
455018,2012,ford,escape xlt,good,4 cylinders,gas,clean,automatic,4wd,mid-size,SUV,grey,il,9.104424146384634,11.509108188431941
383899,1997,mercury,grand marquis ls,excellent,8 cylinders,gas,clean,automatic,rwd,full-size,sedan,white,or,7.738488122494646,11.842301151971139
197910,2010,subaru,impreza,good,4 cylinders,gas,clean,automatic,4wd,mid-size,sedan,blue,fl,8.83927669058535,11.26145959665143
450250,2008,bmw,328i,excellent,6 cylinders,gas,clean,automatic,rwd,full-size,sedan,white,ca,8.648221453822641,11.803914563179505
27388,2013,chevrolet,silverado 3500hd,excellent,8 cylinders,diesel,clean,automatic,4wd,full-size,truck,grey,ny,10.434086391401058,11.451156438572596
324134,2010,chevrolet,silverado 2500hd,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,truck,silver,ny,9.740674462130217,11.716176464945212
203886,2007,mazda,mx-5 miata grand touring,excellent,4 cylinders,gas,clean,manual,fwd,compact,convertible,grey,fl,9.116029692504942,11.444753684866894
436898,1990,mazda,miata,good,4 cylinders,gas,clean,manual,rwd,compact,convertible,silver,pa,8.229511118964457,12.055307893640437
520445,2017,hyundai,santa fe,excellent,4 cylinders,gas,clean,automatic,4wd,full-size,SUV,silver,ia,9.735068900911164,11.000915807179194
233559,2010,lincoln,mkz,excellent,6 cylinders,gas,clean,automatic,fwd,mid-size,sedan,silver,oh,8.922658299524402,11.082111779173623
231581,2018,ford,explorer,excellent,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,blue,ky,9.902036500268814,11.361230101718034
111898,2014,ram,3500,excellent,6 cylinders,diesel,clean,automatic,4wd,full-size,pickup,silver,tx,10.165659490817816,11.978318481658281
143779,2019,ram,1500 classic,excellent,8 cylinders,gas,clean,automatic,4wd,mid-size,truck,white,tx,10.074368919187528,8.841158975945264
447876,2004,ford,e350 15-passenger van,excellent,10 cylinders,gas,clean,automatic,4wd,full-size,van,grey,va,10.126631103850338,11.678524645619794
489905,2012,buick,enclave,good,6 cylinders,gas,clean,automatic,4wd,mid-size,SUV,white,ky,7.783224016336037,11.856586088831277
63211,2016,volkswagen,cc,like new,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,black,tx,9.769956159911606,10.674960583197336
223755,2013,chrysler,town country,good,6 cylinders,gas,clean,automatic,fwd,full-size,van,custom,mi,8.986571625268054,11.668004285370309
25794,2015,toyota,rav4,like new,4 cylinders,gas,clean,automatic,4wd,mid-size,SUV,silver,mo,9.769956159911606,10.988845725525822
449953,2006,ford,f250,good,8 cylinders,diesel,rebuilt,automatic,4wd,full-size,truck,white,il,9.21024036697585,11.98299159226292
269895,2014,gmc,sierra 1500,like new,8 cylinders,gas,clean,automatic,4wd,full-size,truck,white,mi,10.239924074233857,10.859191286767118
297442,2008,ford,f250,excellent,8 cylinders,diesel,clean,automatic,4wd,full-size,truck,black,ga,10.085600754292345,11.637158763988618
191546,2012,ford,f350 diesel powerstroke 4x4,good,8 cylinders,diesel,clean,automatic,4wd,full-size,truck,black,ny,9.792555991828847,11.149225906094532
323446,1971,chevrolet,k20,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,black,oh,10.292145542327912,11.661431673269453
198802,2015,ford,f-150,excellent,6 cylinders,gas,lien,automatic,4wd,full-size,pickup,white,fl,10.341742483467284,11.198351697050132
454458,2006,pontiac,torrent,good,6 cylinders,gas,clean,automatic,fwd,mid-size,SUV,grey,il,8.070906088787819,11.736149013084608
7054,2008,chevrolet,impala,good,6 cylinders,gas,clean,automatic,fwd,compact,sedan,custom,tn,9.209840246934501,11.72772227898757
507644,2003,chevrolet,blazer,new,6 cylinders,gas,clean,automatic,4wd,mid-size,SUV,brown,mo,8.516192691082654,12.149555202695002
472459,2017,nissan,rogue,like new,4 cylinders,gas,salvage,automatic,fwd,mid-size,SUV,black,ca,9.392578591964389,10.309285938434412
237313,2013,ford,edge sel,excellent,6 cylinders,gas,clean,automatic,fwd,full-size,SUV,black,va,9.539644119118783,10.950981970025628
456074,2011,infiniti,ex35 journey,excellent,6 cylinders,gas,rebuilt,automatic,rwd,mid-size,SUV,grey,nc,9.07680897935166,11.759863664850155
28761,2017,honda,civic exl whit si package,excellent,4 cylinders,gas,clean,automatic,fwd,compact,sedan,custom,tx,9.79784922051313,8.988446040062405
311241,2006,ford,f-150,excellent,8 cylinders,gas,clean,automatic,rwd,full-size,pickup,blue,ok,8.411832675758411,12.275398128362506
24400,2007,ford,f-150,good,8 cylinders,gas,clean,automatic,rwd,full-size,pickup,white,ms,8.974618038455112,10.844568453217502
37430,2003,ford,f-250,good,8 cylinders,diesel,clean,automatic,4wd,full-size,truck,white,mo,9.199784858036667,12.447421470619068
326689,2011,toyota,tacoma,good,6 cylinders,gas,clean,automatic,rwd,full-size,truck,grey,fl,9.546455401949554,12.067298964663705
126564,2012,chevrolet,crew cab lt 4wd,good,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,white,ky,9.350102314351341,12.041740308095777
335995,2005,honda,accord,good,6 cylinders,gas,clean,automatic,fwd,mid-size,coupe,silver,wi,8.292798858200374,11.939741021489043
315253,2014,toyota,corolla s,good,4 cylinders,gas,clean,automatic,fwd,compact,sedan,silver,wy,9.20029003612268,11.487587143955034
367929,2012,toyota,highlander,excellent,6 cylinders,gas,rebuilt,automatic,fwd,mid-size,SUV,grey,nc,9.296518068217235,11.678524645619794
238063,2013,ford,escape,good,4 cylinders,gas,clean,automatic,fwd,compact,SUV,grey,nc,9.093806555720231,13.578029717149859
133112,2010,toyota,corolla,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,black,in,8.496990484098719,12.007682680557155
116528,2015,nissan,altima s,like new,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,black,fl,9.099408811268901,11.625182147315895
324339,2016,subaru,forester 2.5i premium awd,like new,4 cylinders,gas,clean,automatic,4wd,mid-size,SUV,silver,ct,9.903487552536127,10.434409878001242
153056,2012,gmc,acadia slt,excellent,6 cylinders,gas,clean,automatic,fwd,mid-size,SUV,white,fl,9.104868739033948,11.553395397523941
289020,2002,ford,f250 super duty,good,10 cylinders,gas,clean,automatic,4wd,full-size,pickup,red,oh,8.922658299524402,12.128165156653647
203401,1998,ford,f-150 xl,good,6 cylinders,gas,clean,manual,rwd,full-size,pickup,red,tn,7.783224016336037,12.298834125611485
204109,2008,gmc,acadia,good,6 cylinders,gas,clean,automatic,fwd,full-size,SUV,custom,ar,8.85352256068954,11.581116681884666
248309,2013,chevrolet,malibu,good,4 cylinders,gas,rebuilt,automatic,fwd,mid-size,sedan,silver,ne,8.974618038455112,11.330527905288127
399548,2015,nissan,pathfinder,excellent,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,black,ok,9.546455401949554,11.686139002733455
401060,2003,jaguar,s-type,like new,6 cylinders,gas,clean,automatic,rwd,mid-size,sedan,brown,de,8.794824928014517,11.17057599117614
462620,1995,toyota,4runner,good,6 cylinders,gas,clean,automatic,4wd,mid-size,SUV,white,mi,8.160518247477505,12.128165156653647
389342,2012,chevrolet,suburban,good,8 cylinders,gas,clean,automatic,rwd,full-size,SUV,black,id,8.851949671253948,11.908407575024992
26765,2003,chevrolet,silverado 1500 ext cab,excellent,8 cylinders,gas,clean,automatic,rwd,full-size,pickup,black,tn,8.852950887099581,12.11641595459894
395376,2012,gmc,sierra 2500hd,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,truck,white,mi,10.308118979895715,11.947237147635972
237840,2015,chevrolet,express,good,8 cylinders,gas,clean,automatic,rwd,full-size,truck,white,va,9.710509415553645,11.638288587926901
472759,2015,buick,enclave,excellent,6 cylinders,gas,clean,automatic,4wd,mid-size,SUV,white,ca,9.90323752128092,11.476531153777126
40724,2007,toyota,rav4,excellent,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,silver,mo,8.986571625268054,12.169014392573569
417157,2002,ford,super duty f-350 srw,good,8 cylinders,diesel,clean,automatic,rwd,full-size,truck,black,fl,8.656955133791396,13.122383377204331
101991,2013,gmc,sierra 2500hd,excellent,8 cylinders,diesel,clean,automatic,4wd,full-size,truck,black,me,10.308785980087194,11.293387904250002
122239,2012,nissan,pathfinder,excellent,6 cylinders,gas,clean,automatic,fwd,full-size,SUV,white,ky,9.209840246934501,11.540618449986978
230955,2007,ford,fusion,good,6 cylinders,gas,clean,automatic,fwd,mid-size,sedan,brown,mi,7.822044008185619,12.311706623793693
241629,2002,ford,f-150,good,8 cylinders,gas,clean,manual,fwd,full-size,truck,black,or,8.25582842728183,12.111816909604453
516162,2004,ford,expedition,good,8 cylinders,gas,clean,automatic,4wd,full-size,SUV,white,mt,8.697846691109495,12.115737569348592
388116,2018,ford,f250 xl crew 4x4 diesel,excellent,8 cylinders,diesel,clean,automatic,4wd,full-size,pickup,white,oh,10.515966830028619,11.382634530670636
88688,2006,volvo,xc70,excellent,6 cylinders,gas,clean,automatic,fwd,mid-size,hatchback,grey,al,8.34283980427146,11.775366649556215
46093,2006,chevrolet,impala,good,6 cylinders,gas,clean,automatic,fwd,mid-size,sedan,grey,ny,8.612503371220562,11.066794600136049
418574,2005,ram,1500 slt,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,truck,white,tx,8.268731832117737,12.283079981890959
528057,2012,jeep,wrangler unlimited sport,excellent,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,white,tn,10.126631103850338,10.956230407545783
227140,2015,honda,odyssey exl,like new,6 cylinders,gas,rebuilt,automatic,fwd,full-size,mini-van,silver,oh,10.14800112958653,11.152285527968122
58428,2012,ram,2500 4x4,good,8 cylinders,gas,clean,automatic,4wd,full-size,truck,white,tx,9.952039593118293,10.661532564673916
109147,2012,gmc,savana 3500,excellent,8 cylinders,gas,clean,automatic,rwd,full-size,truck,white,az,9.190137664658664,11.986111524907264
510498,2014,ram,4500,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,truck,white,tx,10.341742483467284,11.40767605425113
208812,2000,ford,mustang,good,5 cylinders,gas,clean,manual,fwd,full-size,convertible,black,ar,8.85352256068954,12.153478505409575
57273,2007,kia,optima lx,good,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,silver,pa,7.824046010856292,12.043612537831775
369993,2014,nissan,rogue sv awd,excellent,4 cylinders,gas,clean,automatic,4wd,mid-size,SUV,grey,ny,9.464982590349763,11.091910075513749
214938,2005,chevrolet,silverado,like new,8 cylinders,gas,clean,automatic,4wd,full-size,truck,silver,ar,10.083723602839061,10.463389013948712
392866,2007,ford,f350 super duty,good,8 cylinders,diesel,clean,automatic,4wd,full-size,pickup,white,mt,9.711115659888671,11.856586088831277
194246,2007,gmc,canyon crew cab,good,5 cylinders,gas,clean,automatic,4wd,mid-size,truck,red,ny,8.612503371220562,11.31319321791648
261346,2011,chevrolet,cruze,good,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,brown,ca,8.764053269347762,12.085367218845809
509422,2008,chevrolet,silverado 1500,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,truck,grey,nj,9.546455401949554,11.443682562228068
199124,2004,chevrolet,trailblazer,excellent,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,black,wi,8.100161446936607,12.089595007471479
390348,2012,ford,mustang gt,excellent,8 cylinders,gas,clean,manual,rwd,mid-size,coupe,blue,or,9.680031452383618,11.1879844870947
98355,2011,ford,explorer limited,like new,6 cylinders,gas,clean,automatic,fwd,full-size,SUV,red,ok,9.239899174217728,11.52297480082323
479899,2010,chevrolet,equinox ls,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,SUV,red,in,8.980927207648378,11.752021102498365
332360,2013,mercedes-benz,benz c250 sport,excellent,4 cylinders,gas,clean,automatic,rwd,full-size,sedan,black,al,9.367344120785848,11.229978829285265
41716,2011,mercedes-benz,gl-class,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,SUV,silver,nc,9.51044496442652,11.483228853233392
12330,2014,gmc,sierra 1500,good,8 cylinders,gas,clean,automatic,4wd,full-size,truck,white,wa,10.085600754292345,11.479068739876027
338114,2011,ford,focus sedan,like new,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,blue,wi,8.698681067461614,11.617375566326693
378634,2008,ford,e250 econoline,excellent,8 cylinders,gas,clean,automatic,rwd,full-size,van,white,ga,8.987196820661973,12.072598394130203
198015,1999,mercury,grand marquis ls,good,8 cylinders,gas,clean,automatic,rwd,full-size,sedan,silver,fl,8.00603417874901,11.695330351625486
301095,2004,ford,f250 xlt super duty,good,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,white,az,8.852950887099581,12.353116704468516
493897,2009,toyota,prius,excellent,4 cylinders,gas,clean,automatic,fwd,compact,hatchback,grey,in,8.496990484098719,12.201150551877378
12772,2014,ford,f150 xl supercab 4x2 p/u,good,8 cylinders,gas,clean,automatic,rwd,full-size,pickup,white,il,8.88875674784872,11.974865420006372
215828,2007,chevrolet,silverado 1500 ls,like new,8 cylinders,gas,clean,automatic,rwd,full-size,truck,blue,oh,9.099408811268901,11.37377833356007
175583,2007,infiniti,m45,excellent,8 cylinders,gas,clean,automatic,rwd,mid-size,sedan,silver,ca,8.699348067653093,11.995413340704465
308737,2013,ford,focus se,good,4 cylinders,gas,clean,automatic,fwd,sub-compact,sedan,white,az,8.698013622083925,11.549835818990326
15241,1999,mercury,grand marquis gs,good,8 cylinders,gas,clean,automatic,rwd,full-size,sedan,blue,wv,7.937374696163295,11.901691923455342
139685,2016,chevrolet,malibu,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,blue,in,9.230142999272362,11.536300136286679
353594,2013,bmw,x5 xdrive35i,excellent,6 cylinders,gas,clean,automatic,4wd,mid-size,SUV,white,ms,9.457200449907708,11.921984108588523
142247,2013,dodge,challenger,excellent,8 cylinders,gas,clean,automatic,rwd,full-size,coupe,orange,fl,9.825526011066415,11.074575529526287
331218,2016,ford,f-150,excellent,6 cylinders,gas,clean,automatic,4wd,full-size,truck,white,wi,10.23261142738757,10.680929924591467
364410,2009,audi,q7,excellent,6 cylinders,diesel,clean,automatic,4wd,full-size,SUV,black,oh,9.392411897514927,11.24118235631995
372644,2016,mitsubishi,outlander sel loaded,excellent,4 cylinders,gas,clean,automatic,fwd,full-size,SUV,white,ca,9.546455401949554,11.32214019176408
264205,2007,ford,expedition,good,8 cylinders,gas,clean,automatic,4wd,full-size,SUV,red,wi,8.968268810776454,11.8056100041948
263695,2009,saturn,outlook,good,6 cylinders,gas,clean,automatic,rwd,full-size,SUV,custom,la,8.516192691082654,11.860697898899744
291545,2011,chevrolet,travese ls,good,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,blue,wa,8.986571625268054,11.827276245030381
256560,2006,chevrolet,silverado 2500hd,excellent,8 cylinders,diesel,clean,automatic,rwd,full-size,truck,red,oh,9.768526567102011,11.644041442827765
91939,2018,chevrolet,silverado 1500 ltz,like new,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,black,me,10.505067539570582,9.741556685389908
215274,2008,chevrolet,hhr ss,good,4 cylinders,gas,clean,automatic,fwd,mid-size,hatchback,red,oh,8.496990484098719,12.031778780423448
457169,2003,hyundai,tiburon gt,good,6 cylinders,gas,clean,manual,fwd,compact,coupe,orange,nc,7.438383530044307,11.849469127611972
126068,1995,ford,f-150,good,8 cylinders,gas,clean,manual,rwd,full-size,pickup,red,al,8.006367567650246,11.553318567529473
65662,2005,chevrolet,cobalt ls,good,4 cylinders,gas,clean,automatic,fwd,sub-compact,sedan,silver,ct,7.6004023345004,11.91461679465882
272891,2007,buick,lacrosse,excellent,6 cylinders,gas,clean,automatic,fwd,mid-size,sedan,blue,oh,8.25582842728183,11.421610294478786
355651,2004,acura,rsx,excellent,4 cylinders,gas,clean,automatic,fwd,compact,hatchback,silver,id,8.318742252692399,11.801669473368387
386534,2019,toyota,corolla se,like new,4 cylinders,gas,rebuilt,automatic,fwd,mid-size,sedan,black,ma,9.674074388208323,8.68710472813351
326759,2012,jeep,wrangler sport,excellent,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,silver,fl,10.126631103850338,11.112597140967216
8065,2009,ford,f350 super duty,good,10 cylinders,gas,clean,automatic,4wd,full-size,truck,white,tn,9.61547209118311,11.451156438572596
529474,2014,hyundai,santa fe,excellent,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,white,mn,9.546455401949554,11.495178922482257
257522,1999,ford,f550 4x4 crew cab dump,good,8 cylinders,diesel,clean,automatic,4wd,full-size,truck,white,ky,9.825526011066415,11.87066983686698
103250,2015,toyota,corolla,excellent,4 cylinders,gas,clean,automatic,fwd,full-size,sedan,silver,pa,9.159047077588632,11.693662433633945
276435,2013,ford,fusion,good,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,red,ky,8.986571625268054,11.722562208658456
103418,2011,ford,f350 xl sd 4x4 reg cab,excellent,8 cylinders,other,clean,automatic,4wd,full-size,truck,white,ks,9.2093398716426,11.673299596031358
265497,2007,dodge,caliber sxt,excellent,4 cylinders,gas,clean,automatic,fwd,compact,hatchback,red,wa,8.506940814951886,11.26565570312971
102431,2009,mercedes-benz,c300 4matic awd,excellent,6 cylinders,gas,clean,automatic,4wd,mid-size,sedan,silver,pa,8.496990484098719,12.076704005188892
109215,2013,fiat,500,good,4 cylinders,gas,salvage,automatic,fwd,compact,hatchback,yellow,az,8.294049640102028,11.326716361449082
356040,2012,mercedes-benz,benz glk 350,excellent,6 cylinders,gas,clean,automatic,rwd,sub-compact,SUV,black,tx,9.471164990258082,11.333116748347251
17756,2018,dodge,grand caravan,good,6 cylinders,gas,clean,automatic,fwd,full-size,van,white,ms,9.735068900911164,10.85668863843038
249333,2004,lincoln,town car,good,8 cylinders,gas,clean,automatic,rwd,full-size,sedan,silver,ky,8.006367567650246,11.95124490994934
475032,2009,bmw,328i awd,excellent,6 cylinders,gas,clean,automatic,4wd,full-size,sedan,black,il,8.45531778769815,11.920648023119607
386457,2010,chevrolet,hhr panel van,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,van,white,tx,8.411832675758411,11.418724669571402
239130,2007,toyota,highlander limited,good,6 cylinders,gas,clean,automatic,fwd,full-size,SUV,silver,ga,8.517193191416238,12.433248057957755
32800,2010,jeep,grand cherokee laredo 4x4,excellent,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,silver,co,8.986571625268054,12.012093401178749
30427,2017,jeep,grand cherokee,good,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,black,co,10.199100591564108,10.308985993422082
478159,2015,ram,2500,good,8 cylinders,gas,clean,automatic,4wd,full-size,truck,grey,in,9.851931065621725,11.820057161243323
538636,2005,chevrolet,silverado 1500,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,sedan,black,ia,8.852950887099581,12.047328933862701
253808,2017,toyota,highlander hybrid xle awd,like new,6 cylinders,hybrid,clean,automatic,4wd,mid-size,SUV,white,tx,10.341742483467284,10.529693327342192
16248,2017,toyota,camry se,good,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,silver,tx,9.510074525452104,11.002266493983559
426541,2012,chevrolet,impala ls,good,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,silver,oh,8.516793111394898,11.428934975048595
334880,2002,lexus,lx470,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,SUV,grey,ma,8.699514748210191,12.736983209679432
524749,2017,chevrolet,equinox lt awd,excellent,4 cylinders,gas,rebuilt,automatic,4wd,full-size,SUV,grey,mn,9.563107691083898,10.54970034590686
294888,2004,ram,1500,excellent,8 cylinders,gas,clean,automatic,fwd,full-size,truck,silver,ga,8.516192691082654,11.96602451352316
393742,2007,honda,accord,excellent,6 cylinders,gas,clean,automatic,fwd,mid-size,sedan,black,ok,8.794673401383422,11.561810862700039
534600,2012,nissan,altima,excellent,6 cylinders,gas,clean,other,fwd,mid-size,coupe,blue,tn,9.209840246934501,11.446977951669238
430892,2004,lexus,rx330,good,6 cylinders,gas,clean,automatic,4wd,mid-size,SUV,grey,or,8.98594603876032,11.918457237522937
271103,2018,chevrolet,silverado ltz,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,black,ma,10.51867319162636,9.741556685389908
505506,2006,infiniti,m35,excellent,6 cylinders,gas,clean,automatic,fwd,mid-size,sedan,white,nv,8.698681067461614,11.989290070243332
294708,2013,honda,insight ex,good,4 cylinders,hybrid,clean,automatic,fwd,compact,hatchback,red,wi,9.205327830152639,10.81997826441295
188056,2017,nissan,sentra sv,like new,4 cylinders,gas,rebuilt,automatic,fwd,compact,sedan,silver,ny,9.047233034106032,10.839776970916972
501672,1998,ram,1500 4x4,fair,8 cylinders,gas,clean,manual,4wd,full-size,truck,white,va,7.495541943884256,11.744116547863738
80180,2000,jeep,grand cherokee,fair,6 cylinders,gas,clean,automatic,rwd,mid-size,SUV,grey,al,8.006367567650246,12.230814037418622
499506,2015,hyundai,sonata,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,white,in,9.035986984831405,12.032355960409541
172025,2011,hyundai,santa fe,excellent,6 cylinders,gas,clean,automatic,4wd,mid-size,SUV,brown,tn,8.99961934066053,11.48256934495533
446271,2008,dodge,charger 3.5,excellent,6 cylinders,gas,clean,automatic,rwd,mid-size,sedan,black,al,8.281470857895167,12.230814037418622
126489,2012,ford,f150 xl,excellent,6 cylinders,gas,clean,automatic,rwd,full-size,pickup,black,fl,9.104868739033948,12.090931118017242
5223,2012,volvo,s60 t5 4dr sedan,good,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,silver,tn,8.852950887099581,11.634302036136742
492832,2003,ram,2500 4x4,good,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,blue,ri,8.986571625268054,11.79725442200865
23008,2013,toyota,camry,new,4 cylinders,gas,clean,automatic,fwd,full-size,sedan,grey,nm,9.02401079378469,11.849469127611972
331956,2000,ford,mustang base,excellent,6 cylinders,gas,clean,manual,rwd,full-size,coupe,green,wi,8.292798858200374,11.560829522377283
204146,2012,hyundai,sonata,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,white,ny,8.647343875881283,11.81764900327686
465675,1996,jaguar,xj6 sedan,good,6 cylinders,gas,clean,automatic,fwd,full-size,sedan,green,il,8.411832675758411,11.21240128450515
526409,2012,lincoln,mkz,good,6 cylinders,gas,clean,automatic,fwd,mid-size,sedan,black,tn,9.259035293514941,10.584309083405437
177427,2009,ford,mustang,good,6 cylinders,gas,clean,automatic,rwd,mid-size,coupe,red,va,8.779557455883728,11.695330351625486
266965,2005,ford,f-150,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,red,fl,8.852950887099581,11.996560759446911
537785,2007,toyota,fj cruiser,good,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,blue,nc,9.159047077588632,12.125529395939765
477158,2010,ford,f150 xlt 4x4 crew cab,good,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,blue,in,9.1942109900463,11.777694527898353
439803,2007,toyota,rav4,like new,4 cylinders,gas,clean,automatic,4wd,mid-size,SUV,blue,va,8.987071812848821,11.940843280579326
158313,2004,mercedes-benz,benz sl500,excellent,8 cylinders,gas,rebuilt,automatic,rwd,mid-size,sedan,black,fl,8.83927669058535,9.540075680658964
342533,2015,buick,verano leather group,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,blue,mn,8.85352256068954,11.302327882824537
111951,2005,dodge,sprinter 2500,good,5 cylinders,diesel,clean,automatic,rwd,full-size,van,blue,tx,9.740968623038354,12.180806118282286
531444,2011,gmc,sierra 1500,excellent,8 cylinders,gas,clean,automatic,rwd,full-size,truck,silver,tn,9.680031452383618,11.460568447134703
110609,2015,ram,2500,good,8 cylinders,gas,clean,automatic,4wd,full-size,truck,grey,ky,9.851931065621725,11.820057161243323
54602,2017,chevrolet,silverado hd 3500 ltz,like new,8 cylinders,diesel,lien,automatic,4wd,full-size,pickup,black,oh,10.87804719253426,11.8204836914268
107183,2000,ford,excursion,good,10 cylinders,gas,clean,automatic,4wd,full-size,offroad,black,ks,9.798127036878302,11.989221753838985
